parameter,min,max,default
FRI,0,1,0.5
FLM,0,1,0.5
MAF2,0,1,0.5
PIE,0,1,0.5
GA5,0,1,0.5
k,-100,100,-5.174855636
w,0,10,2.225688886
xi,0,10,0.995904472
T_vmin,-10,10,-3.5
T_vmax,0,20,17.8
Pday,0,1,1
Pnight,0,1,0
log10_FT_vs_GA,-10,10,-2.828783208
log10_Signal_threshold,0,10,4.013012528
log10_Bolting_threshold,-10,10,-10
TT_germ,0,10000,2640
TT_phyllochron,0,840,480
Tmin,-10,10,-4.4
T10,0,1,0.24
Topt,10,50,23
Tmax,25,100,44
TLN_SD,30,100,58
Dayl_FT_equal_GA,6,24,17.4
D_TtB,0,30,10
log10_FT_base,-10,6,-10
HT_min,0,30,10
HT_max,20,50,30
F_b,0,1,0.5
HT_base,0,1,0.5
GA_strength,0,10,1